"id","age"
2010,57
3010,56
3020,54
10004010,52
10013010,54
10038010,56
10083020,50
10099010,59
10114010,55
10124010,59
10196010,57
10206010,55
10225010,57
10299010,51
10378010,53
10394010,51
10395010,55
10395020,54
10397010,51
10404010,52
10410010,55
10433010,58
10460010,56
10465020,56
10481010,52
10481020,52
10482010,50
10533010,52
10537010,55
10565020,59
10567010,58
10571010,51
10571020,53
10577010,52
10592010,55
10600010,51
10602010,56
10611010,50
10646020,59
10648010,51
10648020,51
10652010,56
10671010,51
10677010,52
10696010,50
10707010,53
10769010,52
10775020,57
10776010,57
10822010,51
10893010,52
10896010,53
10902010,56
10917010,54
10941010,56
10956010,55
10989010,56
10989020,51
11010010,54
11067020,53
11071010,59
11071020,56
11141010,58
11186010,50
11219010,51
11230010,57
11248010,53
11256010,50
11332020,52
11333020,58
11341010,53
11341020,59
11368020,58
11377010,53
11378010,55
11378020,51
11379020,57
11477010,57
11479010,50
11505010,56
11506010,51
11522010,51
11563010,59
11575010,53
11575020,59
11590020,57
11591010,58
11591020,54
11608010,54
11620010,51
11656010,55
11667020,59
11671010,59
11690010,58
11694010,54
11716010,53
11787010,50
11802010,57
11802020,54
11810010,53
11826010,53
11828010,54
11835010,58
11835020,51
11841010,55
11854010,56
11854020,53
11859010,54
11876010,56
11881010,56
11907010,57
11907020,57
11911010,52
11932020,57
11933010,51
11936010,56
11936020,54
11993010,59
11993020,51
11999010,55
12005010,58
12009010,52
12033010,51
12045010,57
12054010,50
12094010,55
12104010,57
12106010,57
12108010,53
12124020,54
12135020,59
12139010,50
12161010,54
12161020,54
12162010,59
12172010,50
12172020,59
12174010,59
12178010,56
12183010,56
12196010,52
12218010,56
12218020,51
12223020,54
12232010,57
12235010,54
12242010,59
12242020,58
12243020,53
12252010,59
12257010,52
12273010,59
12274010,57
12274020,57
12285010,53
12292010,53
12292020,52
12302010,55
12306010,58
12310010,55
12318010,59
12319010,50
12323010,57
12394010,58
12401010,59
12405010,58
12424010,59
12445010,56
12455010,56
12458020,54
12479010,56
12484010,57
12484020,56
12494010,55
12502010,54
12502020,55
12507010,50
12510010,57
12510020,57
12512010,54
12512020,54
12513020,53
12516010,55
12529020,59
12543010,52
12549010,50
12553010,56
12562010,52
12571020,56
12573010,55
12574010,59
12586010,53
12586020,52
12596010,56
12605010,51
12611020,56
12648010,51
12651010,51
12666010,55
12667010,56
12671010,50
12682010,53
12690010,59
12695020,52
12709020,51
12744020,52
12745010,51
12745020,50
12756010,52
12761010,53
12762010,52
12765010,57
12786010,51
12792010,57
12799020,51
12821010,52
12830010,55
12852020,56
12864020,57
12920010,53
12967010,51
12974010,54
12979010,55
12979020,56
12985010,52
13054010,59
13062010,57
13062020,58
13063010,51
13089010,59
13089020,57
13137020,53
13142010,55
13158010,52
13176010,57
13176020,54
13194010,54
13211010,57
13211020,58
13216010,58
13231010,51
13231020,53
13242010,56
13305020,55
13317010,55
13318010,56
13318020,58
13371010,58
13399010,53
13418020,54
13527020,53
13535020,59
13547010,59
13547020,58
13552020,57
13561010,51
13561020,51
13573010,54
13573020,56
13583020,57
13598010,57
13598020,52
13600010,58
13600020,57
13612010,51
13631010,52
13631020,53
13635010,53
13635020,53
13637010,57
13671010,55
13671020,55
13678010,53
13699010,51
13753010,58
13757020,55
13784010,51
13813010,53
13814010,53
13816010,51
13817010,52
13820010,52
13857020,57
13860010,59
13891010,52
13894010,50
13897010,57
13899010,54
13902010,57
13902020,57
13912010,54
13912020,55
13915010,51
13916010,50
13965020,53
13974010,55
14008010,54
14028010,52
14028020,50
14033010,53
14036010,53
14063020,59
14069020,56
14072010,50
14080020,59
14081010,51
14085010,50
14092010,57
14104010,54
14104020,53
14115020,51
14121010,56
14129020,56
14136010,57
14149020,52
14167010,53
14188020,59
14201010,52
14212010,59
14212020,59
14214010,51
14215020,59
14224010,52
14226010,57
14234010,54
14244020,51
14247010,53
14251010,59
14252010,50
14253010,53
14270010,51
14272010,54
14275010,55
14307010,59
14308010,56
14332010,51
14349010,52
14359020,52
14397010,54
14397020,53
14411010,54
14420010,53
14420020,53
14428010,52
14430010,53
14436010,55
14436020,51
14449010,51
14456020,59
14539010,56
14553010,57
14587010,51
14605010,51
14617010,55
14617020,51
14619020,57
14624010,50
14655020,56
14672010,51
14701010,52
14726010,50
14731010,52
14731020,51
14736010,54
14736020,52
14746010,56
14748020,59
14754010,54
14756010,53
14771010,55
14771020,52
14783010,57
14787010,56
14802010,57
14830010,51
14830020,58
14844010,52
14852010,55
14852020,54
14869010,56
14869020,52
14872020,57
14902010,57
14959010,59
14959020,59
14981010,51
14992010,52
15015020,56
15023010,59
15037010,53
15048010,56
15056020,59
15059020,56
15129010,50
15148010,53
15159010,54
15172010,56
15189010,59
15195010,55
15195020,58
15200010,51
15204010,55
15204020,51
15216010,58
15230010,59
15230020,57
15236010,55
15239010,58
15257010,57
15293010,58
15294010,54
15339010,54
15344010,52
15344020,55
15358010,53
15358020,52
15362010,54
15372010,52
15419010,58
15436010,57
15436020,56
15511010,50
15514020,57
15516010,51
15516020,51
15536010,53
15537010,54
15543010,59
15543020,59
15551010,58
15551020,55
15560010,56
15588010,58
15591010,54
15625010,54
15625020,57
15636010,51
15648020,52
15659010,50
15698010,52
15752010,59
15752020,50
15781010,52
15784010,57
15793010,50
15793020,59
15834010,55
15889010,52
15889020,51
15893010,53
15893020,53
15911010,51
15960010,59
15972010,52
15981010,55
15982010,54
15982020,52
15983010,54
15983020,53
15986010,53
15987010,56
15987020,58
15995010,54
15995020,57
16022010,52
16035010,58
16036010,58
16042010,58
16043020,54
16048010,51
16048020,54
16054020,59
16062010,53
16064010,51
16086010,58
16107010,57
16116010,55
16116020,54
16142010,52
16162010,52
16174010,55
16190010,52
16197010,50
16197020,50
16211010,56
16220020,59
16221010,51
16233010,59
16233020,57
16237020,59
16243010,54
16245010,51
16246020,58
16250010,59
16261020,52
16262010,55
16312010,56
16331010,57
16376020,59
16381010,59
16404010,53
16404020,53
16407010,58
16412010,57
16412020,51
16415010,54
16420010,50
16420020,50
16430010,54
16433010,56
16433020,59
16437010,54
16437020,55
16439020,54
16444010,58
16449020,53
16454020,58
16460010,50
16468010,50
16471010,55
16475010,54
16478010,56
16484020,56
16491010,52
16500010,59
16500020,57
16510020,54
16517010,54
16548010,56
16558010,56
16566010,54
16566020,50
16570010,57
16599010,51
16602010,55
16602020,51
16603010,57
16606010,54
16619010,53
16619020,53
16631010,52
16631020,51
16648010,51
16648020,50
16650020,54
16659010,57
16663010,59
16672010,56
16672020,57
16681010,54
16698010,59
16700010,59
16700020,58
16705010,52
16705020,53
16706010,59
16706020,58
16710010,56
16747020,54
16752010,52
16761010,54
16789010,51
16789020,51
16804010,56
16810010,52
16822010,52
16822020,53
